ZAWODNIK,SREDNIA,DOM,WYJAZD,BIEGI
Mateusz Cierniak,1.755,1.742,1.773,53
Jonas Jeppesen,1.944,2.333,1.167,18
Karol Żupiński,1.255,1.538,0.960,51